hub,measure,year,unit,value,source,comment,version
Singapore,CrossBorderWealth,2020,US$tn,1.2,"BCG Global Wealth 2021, Jun 2021, sidebar exhibit 'Leading Global Cross-Border Financial Centers — cross-border financial center wealth, 2020' (web-assets.bcg.com/d4/47/64895c544486a7411b06ba4099f2/bcg-global-wealth-2021-jun-2021.pdf)","Exhibit values are stacked graphics; hub assignment taken from BCG's printed 2020 rank order and cross-checked against BCG's own text in the same sidebar (SG 'CAGR of 9.1% ... reach US$1.9tn by 2025' implies a 2020 base of 1.23) — check ties to 1.2",20260725-001 PxClOpus4.8
Singapore,CrossBorderWealth,2021,US$tn,1.5,"BCG Global Wealth Report 2022, Jul 2022, top cross-border booking centres 2021 — retrieved via Caproasia's figure-by-figure summary of the BCG exhibit, 15 Jul 2022 (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)","Tier-2 retrieval route: BCG GWR 2022 PDF not directly reachable this run, so the BCG exhibit is cited through a secondary transcription. Consistent with the adjacent BCG vintages (1.2 in 2020, 1.5 in 2022)",20260725-001 PxClOpus4.8
Singapore,CrossBorderWealth,2022,US$tn,1.5,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2 'Top 10 booking centers and their corresponding top source region', 2022 column (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)",Primary BCG PDF read directly; 2017 column reads 0.9 for Singapore,20260725-001 PxClOpus4.8
Singapore,CrossBorderWealth,2023,US$tn,1.7,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3 'Switzerland Had the Largest Absolute Growth as a Booking Center While the UAE Had the Highest Percentage Growth', 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF; the ten hub values plus 'Others' in this exhibit sum to BCG's printed 13.2 total — arithmetic check on the hub-to-value assignment,20260725-001 PxClOpus4.8
Singapore,CrossBorderWealth,2024,US$tn,1.9,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2 'Hong Kong Has the Largest Absolute Growth as a Booking Center While Singapore and the UAE Have the Highest Percentage Growth', 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF; same exhibit prints Singapore as the fastest-growing centre in 2024 at +11.9% and +US$204bn absolute,20260725-001 PxClOpus4.8
Singapore,CrossBorderWealth,2025,US$tn,2.1,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, Exhibit 3 'Hong Kong Claims the Top Spot as the World's Largest Booking Center' and booking-centre narrative (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)",Primary BCG PDF states Singapore cross-border wealth 'rose 10.3% in 2025'; the 2.1 level is the figure BCG gave in the accompanying press coverage of the same exhibit and is consistent with 1.9 x 1.103,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderWealth,2020,US$tn,2.1,"BCG Global Wealth 2021, Jun 2021, sidebar exhibit 'Leading Global Cross-Border Financial Centers — cross-border financial center wealth, 2020' (web-assets.bcg.com/d4/47/64895c544486a7411b06ba4099f2/bcg-global-wealth-2021-jun-2021.pdf)","Hub assignment cross-checked against BCG's own text in the same sidebar (HK 'AuMs to a staggering US$3.2tn by 2025, a CAGR of 8.5%' implies a 2020 base of 2.13) — check ties to 2.1",20260725-001 PxClOpus4.8
Hong Kong,CrossBorderWealth,2021,US$tn,2.3,"BCG Global Wealth Report 2022, Jul 2022, top cross-border booking centres 2021 — retrieved via Caproasia's figure-by-figure summary of the BCG exhibit, 15 Jul 2022 (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)",Tier-2 retrieval route as above; consistent with the adjacent BCG vintages (2.1 in 2020 and 2.2 in 2022),20260725-001 PxClOpus4.8
Hong Kong,CrossBorderWealth,2022,US$tn,2.2,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2, 2022 column (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)",Primary BCG PDF; 2017 column reads 1.2. BCG notes HK lost flows to Singapore in 2022,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderWealth,2023,US$tn,2.4,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3, 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF; report text puts HK 2023 growth at 3.2%,20260725-001 PxClOpus4.8
Hong Kong,CrossBorderWealth,2024,US$tn,2.7,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2, 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF; +9.6% and +US$231bn (largest absolute gain of any centre in 2024),20260725-001 PxClOpus4.8
Hong Kong,CrossBorderWealth,2025,US$tn,2.9,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, Exhibit 3 (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)",Primary BCG PDF: 'Cross-border wealth rose 10.7% to $2.9 trillion'. First year HK narrowly overtakes Switzerland; BCG calls the two 'comparable' at this rounding,20260725-001 PxClOpus4.8
Switzerland,CrossBorderWealth,2020,US$tn,2.4,"BCG Global Wealth 2021, Jun 2021, sidebar exhibit 'Leading Global Cross-Border Financial Centers — cross-border financial center wealth, 2020' (web-assets.bcg.com/d4/47/64895c544486a7411b06ba4099f2/bcg-global-wealth-2021-jun-2021.pdf)",Switzerland was the largest centre in 2020 per the same sidebar; BCG's stated 3.2% CAGR off this base is consistent with the 2.6-2.7 levels the later vintages print,20260725-001 PxClOpus4.8
Switzerland,CrossBorderWealth,2021,US$tn,2.5,"BCG Global Wealth Report 2022, Jul 2022, top cross-border booking centres 2021 — retrieved via Caproasia's figure-by-figure summary of the BCG exhibit, 15 Jul 2022 (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)",Tier-2 retrieval route as above; consistent with the adjacent BCG vintages (2.4 in both 2020 and 2022),20260725-001 PxClOpus4.8
Switzerland,CrossBorderWealth,2022,US$tn,2.4,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2, 2022 column (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)",Primary BCG PDF; 2017 column reads 2.1,20260725-001 PxClOpus4.8
Switzerland,CrossBorderWealth,2023,US$tn,2.6,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3, 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF; Switzerland had the largest absolute growth of any centre in 2023,20260725-001 PxClOpus4.8
Switzerland,CrossBorderWealth,2024,US$tn,2.7,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2, 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF; +6.0% and +US$154bn — BCG attributes it to market performance rather than net inflows,20260725-001 PxClOpus4.8
Switzerland,CrossBorderWealth,2025,US$tn,2.9,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, Exhibit 3 (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)","Primary BCG PDF: 'Switzerland, also at $2.9 trillion, grew 7.6%'",20260725-001 PxClOpus4.8
United States,CrossBorderWealth,2020,US$tn,0.9,"BCG Global Wealth 2021, Jun 2021, sidebar exhibit 'Leading Global Cross-Border Financial Centers — cross-border financial center wealth, 2020' (web-assets.bcg.com/d4/47/64895c544486a7411b06ba4099f2/bcg-global-wealth-2021-jun-2021.pdf)","Hub assignment cross-checked against BCG's own text in the same sidebar (US 'CAGR of 6.9% ... reaching US$1.3tn by 2025' implies a 2020 base of 0.93) — check ties to 0.9. This is US international/booking-centre wealth, not total US wealth",20260725-001 PxClOpus4.8
United States,CrossBorderWealth,2021,US$tn,1.1,"BCG Global Wealth Report 2022, Jul 2022, top cross-border booking centres 2021 — retrieved via Caproasia's figure-by-figure summary of the BCG exhibit, 15 Jul 2022 (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)",Tier-2 retrieval route as above; consistent with the adjacent BCG vintages (0.9 in 2020 and 1.1 in 2022),20260725-001 PxClOpus4.8
United States,CrossBorderWealth,2022,US$tn,1.1,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2, 2022 column (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)",Primary BCG PDF; 2017 column reads 0.9. Top source region Central & South America,20260725-001 PxClOpus4.8
United States,CrossBorderWealth,2023,US$tn,1.3,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3, 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF,20260725-001 PxClOpus4.8
United States,CrossBorderWealth,2024,US$tn,1.5,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2, 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF; +10.9% and +US$144bn,20260725-001 PxClOpus4.8
United States,CrossBorderWealth,2025,US$tn,1.6,"BCG Global Wealth Report 2026 'The Great Reordering', May 2026, booking-centre narrative (web-assets.bcg.com/27/09/094ed67e49ffbd469d130d73842d/2026-gwr-may-2026-n.pdf)","Primary BCG PDF: 'The US slowed to 7.7% growth, reaching $1.6 trillion'. Fourth-largest cross-border centre",20260725-001 PxClOpus4.8
United Kingdom,CrossBorderWealth,2020,US$tn,n/r,"BCG Global Wealth 2021, Jun 2021, sidebar exhibit 'Leading Global Cross-Border Financial Centers' (web-assets.bcg.com/d4/47/64895c544486a7411b06ba4099f2/bcg-global-wealth-2021-jun-2021.pdf)","n/r — UK mainland appears 7th in BCG's 2020 ranking but the stacked exhibit values could not be assigned to it unambiguously, and the candidate value (0.4) conflicts with BCG GWR 2023's UK mainland reading of 0.7 for 2017. Not retrieved rather than guessed; see the UK definition-break note on the 2022 row",20260725-001 PxClOpus4.8
United Kingdom,CrossBorderWealth,2021,US$tn,n/r,"BCG Global Wealth Report 2022, Jul 2022 — secondary transcriptions of the BCG exhibit disagree on the UK value (caproasia.com/2022/07/15/2021-global-financial-centers-cross-borders-aum-ranking/)","n/r — same vintage-consistency problem as 2020: the secondary transcription reads 0.5, which cannot be reconciled with BCG GWR 2023's UK mainland series (0.7 in 2017, 0.9 in 2022). Left n/r pending a direct read of the GWR 2022 exhibit",20260725-001 PxClOpus4.8
United Kingdom,CrossBorderWealth,2022,US$tn,0.9,"BCG Global Wealth Report 2023 'Resetting the Course', Jun 2023, Exhibit 2, 2022 column (web-assets.bcg.com/fb/64/e10897864913a480415d0e1fe3c6/bcg-global-wealth-report-2023-june-2023.pdf)","Primary BCG PDF; labelled 'UK mainland' (excludes Channel Islands & Isle of Man, which BCG lists separately at 0.6). 2017 column reads 0.7. This UK-mainland basis is the one the 2023-2025 vintages use; earlier vintages are not on a comparable footing, hence the n/r rows above",20260725-001 PxClOpus4.8
United Kingdom,CrossBorderWealth,2023,US$tn,0.9,"BCG Global Wealth Report 2024 'The GenAI Era Unfolds', Jul 2024, Exhibit 3, 2023 column (web-assets.bcg.com/0c/b4/1e8b9a66409a8deae6fc166aa26e/2024-global-wealth-report-july-2024-edit-02.pdf)",Primary BCG PDF; UK mainland basis,20260725-001 PxClOpus4.8
United Kingdom,CrossBorderWealth,2024,US$tn,1.0,"BCG Global Wealth Report 2025 'Rethinking the Rules for Growth', Jun 2025, Exhibit 2, 2024 column (web-assets.bcg.com/91/60/730103694df684d8e4ca2f7cc8b4/2025-global-wealth-report-june-2025.pdf)",Primary BCG PDF; +8.1% and +US$73bn. BCG flags onshore capital flight from the non-dom tax change as a drag on future inflows,20260725-001 PxClOpus4.8
